organization,id,m2012form,display,m13raw,perdiff,
ENERGY ADJUSTMENT,110,$0.00 ,$0.00 ,1,0,0
FRINGE BENEFITS COST CONTAINMENT,111,$0.00 ,$0.00 ,1,0,0
FEDERAL ACTIONS,112,$0.00 ,$0.00 ,1,0,0
GENERAL RESERVE,113,$0.00 ,$0.00 ,1,0,0
FEDERAL / STATE ACTIONS,114,$0.00 ,$0.00 ,1,0,0
MAC DEBT SERVICE FUNDING,115,$0.00 ,$0.00 ,1,0,0
PROCUREMENT PEG,117,$0.00 ,$0.00 ,1,0,0
DEPARTMENT OF MENTAL HEALTH,118,$0.00 ,$0.00 ,1,0,0
DEPARTMENT OF EMPLOYMENT,119,$0.00 ,$0.00 ,1,0,0
LEASE ADJUSTMENT,120,$0.00 ,$0.00 ,1,0,0
PRIOR YEAR PAYABLES,121,$0.00 ,$0.00 ,1,0,0
IT EFFICIENCY SAVINGS,122,$0.00 ,$0.00 ,1,0,0
DEPARTMENT OF JUVENILE JUSTICE,150,$0.00 ,$0.00 ,1,0,0
BRONX COMMUNITY BOARD #6,60,$206.90 thousand,$206.90K,206900,4.02,+4.02
BROOKLYN COMMUNITY BOARD #15,61,$206.90K,$206.90K,206900,4.02,+4.02
BROOKLYN COMMUNITY BOARD #5,62,$206.90K,$206.90K,206900,4.02,+4.02
QUEENS COMMUNITY BOARD #9,63,$206.90K,$206.90K,206900,4.02,+4.02
BROOKLYN COMMUNITY BOARD #18,109,$207.30K,$206.90K,206900,0.02,+0.02
BROOKLYN COMMUNITY BOARD #7,123,$206.90K,$206.90K,206900,0,0
BRONX COMMUNITY BOARD #12,126,$206.90K,$206.90K,206900,-0.96,-0.96
BROOKLYN COMMUNITY BOARD #6,38,$213.94K,$221.15K,221150,7.49,+7.49
BRONX COMMUNITY BOARD #5,51,$219.20K,$229.20K,229200,4.76,+4.76
QUEENS COMMUNITY BOARD #14,75,$230.30K,$230.01K,230010,3.43,+3.43
QUEENS COMMUNITY BOARD #5,74,$245.32K,$245.83K,245830,3.51,+3.51
BRONX COMMUNITY BOARD #4,24,$222.20K,$247.20K,247200,13.11,+13.11
BROOKLYN COMMUNITY BOARD #11,83,$247.42K,$247.45K,247450,2.81,+2.81
BROOKLYN COMMUNITY BOARD #3,58,$243.44K,$248.18K,248180,4.09,+4.09
BROOKLYN COMMUNITY BOARD #9,36,$238.38K,$248.88K,248880,7.63,+7.63
BRONX COMMUNITY BOARD #2,72,$250.70K,$248.99K,248990,3.56,+3.56
QUEENS COMMUNITY BOARD #12,30,$254.54K,$249.21K,249210,9.43,+9.43
BROOKLYN COMMUNITY BOARD #16,131,$247.07K,$249.76K,249760,-2,-2
QUEENS COMMUNITY BOARD #10,81,$250.07K,$249.83K,249830,3.02,+3.02
BRONX COMMUNITY BOARD #9,65,$254.13K,$251.49K,251490,4,+4
STATEN ISLAND COMMUNITY BOARD #2,77,$251.90K,$251.90K,251900,3.28,+3.28
QUEENS COMMUNITY BOARD #4,100,$254.95K,$253.17K,253170,0.82,+0.82
BROOKLYN COMMUNITY BOARD #2,103,$253.15K,$253.64K,253640,0.33,+0.33
MANHATTAN COMMUNITY BOARD #9,59,$255.09K,$253.96K,253960,4.03,+4.03
MANHATTAN COMMUNITY BOARD #5,76,$254.64K,$254.90K,254900,3.42,+3.42
QUEENS COMMUNITY BOARD #13,97,$248.79K,$255.01K,255010,1.49,+1.49
BRONX COMMUNITY BOARD #11,44,$248.06K,$255.17K,255170,6.2,+6.2
BROOKLYN COMMUNITY BOARD #4,144,$263.73K,$256.00K,256000,-18.63,-18.63
BRONX COMMUNITY BOARD #7,134,$261.45K,$259.58K,259580,-2.12,-2.12
BRONX COMMUNITY BOARD #8,64,$256.24K,$261.48K,261480,4.01,+4.01
BRONX COMMUNITY BOARD #1,57,$258.86K,$261.72K,261720,4.33,+4.33
BRONX COMMUNITY BOARD #3,69,$259.91K,$261.78K,261780,3.82,+3.82
BROOKLYN COMMUNITY BOARD #13,78,$262.60K,$262.70K,262700,3.25,+3.25
